Año,Edad,Población
1950,0,314 890
1950,1,271 383
1950,2,252 297
1950,3,238 686
1950,4,227 678
1950,5,219 306
1950,6,210 270
1950,7,202 813
1950,8,196 684
1950,9,191 632
1950,10,187 611
1950,11,184 578
1950,12,181 247
1950,13,176 955
1950,14,172 069
1950,15,167 699
1950,16,163 714
1950,17,159 261
1950,18,154 056
1950,19,148 413
1950,20,142 902
1950,21,137 370
1950,22,132 312
1950,23,128 019
1950,24,124 243
1950,25,120 505
1950,26,116 977
1950,27,113 263
1950,28,109 145
1950,29,104 871
1950,30,100 825
1950,31,96 829
1950,32,93 578
1950,33,91 422
1950,34,89 987
1950,35,88 541
1950,36,87 221
1950,37,85 707
1950,38,83 762
1950,39,81 532
1950,40,79 455
1950,41,77 517
1950,42,75 304
1950,43,72 677
1950,44,69 825
1950,45,67 013
1950,46,64 111
1950,47,61 729
1950,48,60 172
1950,49,59 128
1950,50,58 002
1950,51,56 943
1950,52,55 564
1950,53,53 622
1950,54,51 318
1950,55,49 088
1950,56,46 835
1950,57,44 656
1950,58,42 640
1950,59,40 712
1950,60,38 758
1950,61,36 856
1950,62,34 757
1950,63,32 343
1950,64,29 771
1950,65,27 263
1950,66,24 725
1950,67,22 604
1950,68,21 130
1950,69,20 074
1950,70,19 006
1950,71,18 046
1950,72,16 871
1950,73,15 285
1950,74,13 467
1950,75,11 783
1950,76,10 157
1950,77,8 698
1950,78,7 497
1950,79,6 488
1950,80,25 304
1951,0,330 766
1951,1,285 726
1951,2,265 226
1951,3,249 851
1951,4,236 802
1951,5,224 342
1951,6,214 041
1951,7,205 747
1951,8,199 147
1951,9,193 930
1951,10,190 027
1951,11,187 378
1951,12,184 432
1951,13,180 383
1951,14,175 659
1951,15,171 556
1951,16,167 893
1951,17,163 715
1951,18,158 706
1951,19,153 181
1951,20,147 794
1951,21,142 440
1951,22,137 268
1951,23,132 425
1951,24,127 846
1951,25,123 312
1951,26,118 865
1951,27,114 668
1951,28,110 783
1951,29,107 164
1951,30,103 705
1951,31,100 418
1951,32,97 351
1951,33,94 516
1951,34,91 894
1951,35,89 386
1951,36,86 932
1951,37,84 828
1951,38,83 185
1951,39,81 820
1951,40,80 486
1951,41,79 312
1951,42,77 651
1951,43,75 186
1951,44,72 230
1951,45,69 396
1951,46,66 545
1951,47,63 981
1951,48,61 915
1951,49,60 181
1951,50,58 370
1951,51,56 530
1951,52,54 800
1951,53,53 197
1951,54,51 658
1951,55,50 121
1951,56,48 636
1951,57,46 892
1951,58,44 742
1951,59,42 329
1951,60,39 959
1951,61,37 597
1951,62,35 239
1951,63,32 925
1951,64,30 660
1951,65,28 404
1951,66,26 156
1951,67,24 081
1951,68,22 257
1951,69,20 617
1951,70,19 017
1951,71,17 482
1951,72,15 998
1951,73,14 543
1951,74,13 129
1951,75,11 797
1951,76,10 558
1951,77,9 326
1951,78,8 070
1951,79,6 833
1951,80,25 159
1952,0,344 287
1952,1,298 325
1952,2,276 954
1952,3,260 505
1952,4,246 205
1952,5,231 655
1952,6,220 332
1952,7,211 171
1952,8,203 853
1952,9,198 059
1952,10,193 698
1952,11,190 689
1952,12,187 539
1952,13,183 455
1952,14,178 824
