Año,Sexo,q,Población,Edad_quinquenal
1950,F,0,644481,0-4
1950,F,1,504455,5-9
1950,F,2,445961,10-14
1950,F,3,391593,15-19
1950,F,4,328654,20-24
1950,F,5,279330,25-29
1950,F,6,234032,30-34
1950,F,7,211378,35-39
1950,F,8,186097,40-44
1950,F,9,156158,45-49
1950,F,10,139547,50-54
1950,F,11,114527,55-59
1950,F,12,89630,60-64
1950,F,13,61345,65-69
1950,F,14,44815,70-74
1950,F,15,24898,75-79
1950,F,16,14936,+80
1950,M,0,660453,0-4
1950,M,1,516250,5-9
1950,M,2,456499,10-14
1950,M,3,401550,15-19
1950,M,4,336192,20-24
1950,M,5,285431,25-29
1950,M,6,238609,30-34
1950,M,7,215385,35-39
1950,M,8,188681,40-44
1950,M,9,155995,45-49
1950,M,10,135902,50-54
1950,M,11,109404,55-59
1950,M,12,82855,60-64
1950,M,13,54451,65-69
1950,M,14,37860,70-74
1950,M,15,19725,75-79
1950,M,16,10368,+80
1950,T,0,1304934,0-4
1950,T,1,1020705,5-9
1950,T,2,902460,10-14
1950,T,3,793143,15-19
1950,T,4,664846,20-24
1950,T,5,564761,25-29
1950,T,6,472641,30-34
1950,T,7,426763,35-39
1950,T,8,374778,40-44
1950,T,9,312153,45-49
1950,T,10,275449,50-54
1950,T,11,223931,55-59
1950,T,12,172485,60-64
1950,T,13,115796,65-69
1950,T,14,82675,70-74
1950,T,15,44623,75-79
1950,T,16,25304,+80
1951,F,0,675434,0-4
1951,F,1,513064,5-9
1951,F,2,453555,10-14
1951,F,3,402695,15-19
1951,F,4,340064,20-24
1951,F,5,284513,25-29
1951,F,6,241574,30-34
1951,F,7,211268,35-39
1951,F,8,191157,40-44
1951,F,9,161110,45-49
1951,F,10,139006,50-54
1951,F,11,119246,55-59
1951,F,12,91549,60-64
1951,F,13,64348,65-69
1951,F,14,43402,70-74
1951,F,15,25941,75-79
1951,F,16,14781,+80
1951,M,0,692937,0-4
1951,M,1,524143,5-9
1951,M,2,464324,10-14
1951,M,3,412356,15-19
1951,M,4,347709,20-24
1951,M,5,290279,25-29
1951,M,6,246310,30-34
1951,M,7,214883,35-39
1951,M,8,193708,40-44
1951,M,9,160908,45-49
1951,M,10,135549,50-54
1951,M,11,113474,55-59
1951,M,12,84831,60-64
1951,M,13,57167,65-69
1951,M,14,36767,70-74
1951,M,15,20643,75-79
1951,M,16,10378,+80
1951,T,0,1368371,0-4
1951,T,1,1037207,5-9
1951,T,2,917879,10-14
1951,T,3,815051,15-19
1951,T,4,687773,20-24
1951,T,5,574792,25-29
1951,T,6,487884,30-34
1951,T,7,426151,35-39
1951,T,8,384865,40-44
1951,T,9,322018,45-49
1951,T,10,274555,50-54
1951,T,11,232720,55-59
1951,T,12,176380,60-64
1951,T,13,121515,65-69
1951,T,14,80169,70-74
1951,T,15,46584,75-79
1951,T,16,25159,+80
1952,F,0,703701,0-4
1952,F,1,527051,5-9
1952,F,2,461696,10-14
1952,F,3,411999,15-19
1952,F,4,350742,20-24
1952,F,5,291362,25-29
1952,F,6,248595,30-34
1952,F,7,213028,35-39
1952,F,8,194797,40-44
1952,F,9,165700,45-49
1952,F,10,139990,50-54
1952,F,11,122640,55-59
1952,F,12,93942,60-64
1952,F,13,67086,65-69
1952,F,14,43013,70-74
1952,F,15,26497,75-79
1952,F,16,14756,+80
1952,M,0,722575,0-4
1952,M,1,538019,5-9
1952,M,2,472509,10-14
1952,M,3,421432,15-19
1952,M,4,358378,20-24
1952,M,5,296888,25-29
1952,M,6,253367,30-34
1952,M,7,216404,35-39
1952,M,8,197253,40-44
1952,M,9,165458,45-49
1952,M,10,136638,50-54
1952,M,11,116440,55-59
1952,M,12,87084,60-64
1952,M,13,59661,65-69
1952,M,14,36532,70-74
1952,M,15,21163,75-79
1952,M,16,10468,+80
1952,T,0,1426276,0-4
1952,T,1,1065070,5-9
1952,T,2,934205,10-14
1952,T,3,833431,15-19
1952,T,4,709120,20-24
1952,T,5,588250,25-29
1952,T,6,501962,30-34
1952,T,7,429432,35-39
1952,T,8,392050,40-44
1952,T,9,331158,45-49
1952,T,10,276628,50-54
1952,T,11,239080,55-59
1952,T,12,181026,60-64
1952,T,13,126747,65-69
1952,T,14,79545,70-74
1952,T,15,47660,75-79
1952,T,16,25224,+80
1953,F,0,730130,0-4
1953,F,1,544968,5-9
1953,F,2,470744,10-14
1953,F,3,420299,15-19
1953,F,4,360887,20-24
1953,F,5,299395,25-29
1953,F,6,255358,30-34
1953,F,7,216218,35-39
1953,F,8,197576,40-44
1953,F,9,169996,45-49
1953,F,10,142069,50-54
1953,F,11,125165,55-59
1953,F,12,96634,60-64
1953,F,13,69643,65-69
1953,F,14,43386,70-74
1953,F,15,26754,75-79
1953,F,16,14829,+80
1953,M,0,750250,0-4
1953,M,1,556259,5-9
1953,M,2,481509,10-14
1953,M,3,429560,15-19
1953,M,4,368432,20-24
1953,M,5,304741,25-29
1953,M,6,260075,30-34
1953,M,7,219451,35-39
1953,M,8,199893,40-44
1953,M,9,169704,45-49
1953,M,10,138760,50-54
1953,M,11,118692,55-59
1953,M,12,89504,60-64
1953,M,13,61997,65-69
1953,M,14,36933,70-74
1953,M,15,21437,75-79
1953,M,16,10617,+80
1953,T,0,1480380,0-4
1953,T,1,1101227,5-9
1953,T,2,952253,10-14
1953,T,3,849859,15-19
1953,T,4,729319,20-24
1953,T,5,604136,25-29
1953,T,6,515433,30-34
1953,T,7,435669,35-39
1953,T,8,397469,40-44
1953,T,9,339700,45-49
1953,T,10,280829,50-54
1953,T,11,243857,55-59
1953,T,12,186138,60-64
1953,T,13,131640,65-69
1953,T,14,80319,70-74
1953,T,15,48191,75-79
1953,T,16,25446,+80
1954,F,0,755568,0-4
1954,F,1,565369,5-9
1954,F,2,481061,10-14
1954,F,3,428385,15-19
1954,F,4,370699,20-24
1954,F,5,308133,25-29
1954,F,6,262130,30-34
1954,F,7,220396,35-39
1954,F,8,200057,40-44
1954,F,9,174062,45-49
1954,F,10,144815,50-54
1954,F,11,127276,55-59
1954,F,12,99450,60-64
1954,F,13,72105,65-69
1954,F,14,44255,70-74
1954,F,15,26902,75-79
1954,F,16,14969,+80
1954,M,0,776844,0-4
1954,M,1,577248,5-9
1954,M,2,491781,10-14
1954,M,3,437523,15-19
1954,M,4,378105,20-24
1954,M,5,313321,25-29
1954,M,6,266725,30-34
1954,M,7,223527,35-39
1954,M,8,202209,40-44
1954,M,9,173706,45-49
1954,M,10,141503,50-54
1954,M,11,120618,55-59
1954,M,12,91984,60-64
1954,M,13,64237,65-69
1954,M,14,37744,70-74
1954,M,15,21616,75-79
1954,M,16,10804,+80
1954,T,0,1532412,0-4
1954,T,1,1142617,5-9
1954,T,2,972842,10-14
1954,T,3,865908,15-19
1954,T,4,748804,20-24
1954,T,5,621454,25-29
1954,T,6,528855,30-34
1954,T,7,443923,35-39
1954,T,8,402266,40-44
1954,T,9,347768,45-49
1954,T,10,286318,50-54
1954,T,11,247894,55-59
1954,T,12,191434,60-64
1954,T,13,136342,65-69
1954,T,14,81999,70-74
1954,T,15,48518,75-79
1954,T,16,25773,+80
1955,F,0,780863,0-4
1955,F,1,586806,5-9
1955,F,2,493009,10-14
1955,F,3,437049,15-19
1955,F,4,380375,20-24
1955,F,5,317095,25-29
1955,F,6,269176,30-34
1955,F,7,225122,35-39
1955,F,8,202802,40-44
1955,F,9,177964,45-49
1955,F,10,147799,50-54
1955,F,11,129432,55-59
1955,F,12,102215,60-64
1955,F,13,74556,65-69
1955,F,14,45360,70-74
1955,F,15,27130,75-79
1955,F,16,15145,+80
1955,M,0,803238,0-4
1955,M,1,599367,5-9
1955,M,2,503781,10-14
1955,M,3,446106,15-19
1955,M,4,387632,20-24
1955,M,5,322110,25-29
1955,M,6,273613,30-34
1955,M,7,228135,35-39
1955,M,8,204777,40-44
1955,M,9,177523,45-49
1955,M,10,144456,50-54
1955,M,11,122609,55-59
1955,M,12,94412,60-64
1955,M,13,66443,65-69
1955,M,14,38742,70-74
1955,M,15,21851,75-79
1955,M,16,11006,+80
1955,T,0,1584101,0-4
1955,T,1,1186173,5-9
1955,T,2,996790,10-14
1955,T,3,883155,15-19
1955,T,4,768007,20-24
