ubigeo,geografia,regi,regi_nom,prov,prov_nom,dist,dist_nom,p_2018,p_2019,p_2020,p_2021,p_2022
000000,Perú,00,NA,00,NA,00,NA,31562130,32131400,32625948.30082373,33035304,33396698
010000,Amazonas,01,Amazonas,00,NA,00,NA,419833,423863,426806,428512,429483
010100,Chachapoyas,01,Amazonas,01,Chachapoyas,00,NA,61078,62207,63188,63661,64058
010101,Chachapoyas,01,Amazonas,01,Chachapoyas,01,Chachapoyas,36602,37870,39051,39691,40274
010102,Asunción,01,Amazonas,01,Chachapoyas,02,Asunción,283,281,278,277,276
010103,Balsas,01,Amazonas,01,Chachapoyas,03,Balsas,1222,1202,1180,1169,1158
010104,Cheto,01,Amazonas,01,Chachapoyas,04,Cheto,687,696,702,705,707
010105,Chiliquin,01,Amazonas,01,Chachapoyas,05,Chiliquin,619,604,589,581,575
010106,Chuquibamba,01,Amazonas,01,Chachapoyas,06,Chuquibamba,1970,1955,1933,1922,1910
010107,Granada,01,Amazonas,01,Chachapoyas,07,Granada,523,532,539,541,543
010108,Huancas,01,Amazonas,01,Chachapoyas,08,Huancas,1334,1395,1456,1481,1500
010109,La Jalca,01,Amazonas,01,Chachapoyas,09,La Jalca,4187,4080,3966,3834,3697
010110,Leimebamba,01,Amazonas,01,Chachapoyas,10,Leimebamba,3862,3845,3815,3799,3781
010111,Levanto,01,Amazonas,01,Chachapoyas,11,Levanto,830,817,803,796,789
010112,Magdalena,01,Amazonas,01,Chachapoyas,12,Magdalena,913,913,911,910,906
010113,Mariscal Castilla,01,Amazonas,01,Chachapoyas,13,Mariscal Castilla,1474,1507,1534,1561,1586
010114,Molinopampa,01,Amazonas,01,Chachapoyas,14,Molinopampa,2320,2296,2266,2251,2235
010115,Montevideo,01,Amazonas,01,Chachapoyas,15,Montevideo,519,503,487,479,472
010116,Olleros,01,Amazonas,01,Chachapoyas,16,Olleros,422,429,435,438,441
010117,Quinjalca,01,Amazonas,01,Chachapoyas,17,Quinjalca,819,807,792,785,778
010118,San Francisco de Daguas,01,Amazonas,01,Chachapoyas,18,San Francisco de Daguas,321,323,323,325,326
010119,San Isidro de Maino,01,Amazonas,01,Chachapoyas,19,San Isidro de Maino,608,599,590,585,581
010120,Soloco,01,Amazonas,01,Chachapoyas,20,Soloco,1293,1279,1261,1252,1243
010121,Sonche,01,Amazonas,01,Chachapoyas,21,Sonche,270,274,277,279,280
010200,Bagua,01,Amazonas,02,Bagua,00,NA,82816,83850,84672,85375,85835
010201,Bagua,01,Amazonas,02,Bagua,01,Bagua,29096,29540,29905,30240,30479
010202,Aramango,01,Amazonas,02,Bagua,02,Aramango,10422,10300,10149,10049,9919
010203,Copallín,01,Amazonas,02,Bagua,03,Copallín,4903,4787,4660,4563,4452
010204,El Parco,01,Amazonas,02,Bagua,04,El Parco,1294,1292,1287,1281,1273
010205,Imaza,01,Amazonas,02,Bagua,05,Imaza,30392,31300,32136,32789,33338
010206,La Peca,01,Amazonas,02,Bagua,06,La Peca,6709,6631,6535,6453,6374
010300,Bongará,01,Amazonas,03,Bongará,00,NA,27042,26972,26830,26655,26449
010301,Jumbilla,01,Amazonas,03,Bongará,01,Jumbilla,1373,1354,1332,1309,1283
010302,Chisquilla,01,Amazonas,03,Bongará,02,Chisquilla,323,321,319,317,313
010303,Churuja,01,Amazonas,03,Bongará,03,Churuja,299,301,301,300,298
010304,Corosha,01,Amazonas,03,Bongará,04,Corosha,810,819,825,831,835
010305,Cuispes,01,Amazonas,03,Bongará,05,Cuispes,702,694,684,673,662
010306,Florida,01,Amazonas,03,Bongará,06,Florida,6400,6409,6397,6380,6353
010307,Jazán,01,Amazonas,03,Bongará,07,Jazán,8035,7994,7931,7855,7774
010308,Recta,01,Amazonas,03,Bongará,08,Recta,220,219,218,215,216
010309,San Carlos,01,Amazonas,03,Bongará,09,San Carlos,519,535,551,565,579
010310,Shipasbamba,01,Amazonas,03,Bongará,10,Shipasbamba,1630,1656,1678,1698,1716
010311,Valera,01,Amazonas,03,Bongará,11,Valera,898,868,837,806,775
010312,Yambrasbamba,01,Amazonas,03,Bongará,12,Yambrasbamba,5833,5802,5757,5706,5645
010400,Condorcanqui,01,Amazonas,04,Condorcanqui,00,NA,50180,50827,51344,51787,52082
010401,Nieva,01,Amazonas,04,Condorcanqui,01,Nieva,21231,21071,20847,20569,20264
010402,El Cenepa,01,Amazonas,04,Condorcanqui,02,El Cenepa,11863,12213,12537,12854,13122
010403,Río Santiago,01,Amazonas,04,Condorcanqui,03,Río Santiago,17086,17543,17960,18364,18696
010500,Luya,01,Amazonas,05,Luya,00,NA,48110,48032,47827,47482,47081
010501,Lamud,01,Amazonas,05,Luya,01,Lamud,2379,2381,2375,2363,2345
010502,Camporredondo,01,Amazonas,05,Luya,02,Camporredondo,7313,7422,7515,7584,7644
010503,Cocabamba,01,Amazonas,05,Luya,03,Cocabamba,2087,2068,2045,2015,1983
010504,Colcamar,01,Amazonas,05,Luya,04,Colcamar,2011,1975,1933,1887,1838
010505,Conila,01,Amazonas,05,Luya,05,Conila,1950,1939,1923,1899,1875
010506,Inguilpata,01,Amazonas,05,Luya,06,Inguilpata,517,502,486,469,451
010507,Longuita,01,Amazonas,05,Luya,07,Longuita,898,892,883,873,860
010508,Lonya Chico,01,Amazonas,05,Luya,08,Lonya Chico,891,876,858,838,817
010509,Luya,01,Amazonas,05,Luya,09,Luya,4147,4139,4118,4086,4047
010510,Luya Viejo,01,Amazonas,05,Luya,10,Luya Viejo,408,407,405,401,398
