ano,semana,tipo_dx,n,region,fecha
2000,15,P,3,Amazonas,2000-04-10
2000,16,P,3,Amazonas,2000-04-17
2000,17,P,6,Amazonas,2000-04-24
2000,18,C,13,Amazonas,2000-05-01
2000,18,P,13,Amazonas,2000-05-01
2000,19,C,27,Amazonas,2000-05-08
2000,19,P,31,Amazonas,2000-05-08
2000,20,C,24,Amazonas,2000-05-15
2000,20,P,72,Amazonas,2000-05-15
2000,21,C,2,Amazonas,2000-05-22
2000,21,P,37,Amazonas,2000-05-22
2000,22,C,4,Amazonas,2000-05-29
2000,22,P,31,Amazonas,2000-05-29
2000,23,C,7,Amazonas,2000-06-05
2000,23,P,19,Amazonas,2000-06-05
2000,24,C,2,Amazonas,2000-06-12
2000,24,P,13,Amazonas,2000-06-12
2000,25,C,2,Amazonas,2000-06-19
2000,25,P,6,Amazonas,2000-06-19
2000,26,C,2,Amazonas,2000-06-26
2000,27,P,15,Amazonas,2000-07-03
2000,28,P,4,Amazonas,2000-07-10
2000,29,P,1,Amazonas,2000-07-17
2000,33,P,1,Amazonas,2000-08-14
2000,40,P,1,Amazonas,2000-10-02
2000,47,P,1,Amazonas,2000-11-20
2000,48,P,1,Amazonas,2000-11-27
2001,2,C,3,Amazonas,2001-01-15
2001,4,C,2,Amazonas,2001-01-29
2001,5,C,3,Amazonas,2001-02-05
2001,5,P,2,Amazonas,2001-02-05
2001,6,C,7,Amazonas,2001-02-12
2001,6,P,7,Amazonas,2001-02-12
2001,7,C,8,Amazonas,2001-02-19
2001,7,P,35,Amazonas,2001-02-19
2001,8,C,6,Amazonas,2001-02-26
2001,8,P,52,Amazonas,2001-02-26
2001,9,C,17,Amazonas,2001-03-05
2001,9,P,55,Amazonas,2001-03-05
2001,10,C,6,Amazonas,2001-03-12
2001,10,P,46,Amazonas,2001-03-12
2001,11,C,12,Amazonas,2001-03-19
2001,11,P,38,Amazonas,2001-03-19
2001,12,C,9,Amazonas,2001-03-26
2001,12,P,42,Amazonas,2001-03-26
2001,13,C,8,Amazonas,2001-04-02
2001,13,P,40,Amazonas,2001-04-02
2001,14,C,7,Amazonas,2001-04-09
2001,14,P,24,Amazonas,2001-04-09
2001,15,C,7,Amazonas,2001-04-16
2001,15,P,21,Amazonas,2001-04-16
2001,16,C,7,Amazonas,2001-04-23
2001,16,P,29,Amazonas,2001-04-23
2001,17,C,5,Amazonas,2001-04-30
2001,17,P,30,Amazonas,2001-04-30
2001,18,C,5,Amazonas,2001-05-07
2001,18,P,42,Amazonas,2001-05-07
2001,19,C,4,Amazonas,2001-05-14
2001,19,P,20,Amazonas,2001-05-14
2001,20,C,2,Amazonas,2001-05-21
2001,20,P,32,Amazonas,2001-05-21
2001,21,P,17,Amazonas,2001-05-28
2001,22,C,1,Amazonas,2001-06-04
2001,22,P,9,Amazonas,2001-06-04
2001,23,P,4,Amazonas,2001-06-11
2001,24,P,4,Amazonas,2001-06-18
2001,25,P,1,Amazonas,2001-06-25
2001,27,P,1,Amazonas,2001-07-09
2001,28,P,1,Amazonas,2001-07-16
2001,29,P,1,Amazonas,2001-07-23
2001,32,P,1,Amazonas,2001-08-13
2001,34,P,1,Amazonas,2001-08-27
2001,35,P,1,Amazonas,2001-09-03
2001,36,P,2,Amazonas,2001-09-10
2001,37,P,4,Amazonas,2001-09-17
2001,38,P,2,Amazonas,2001-09-24
2001,39,P,6,Amazonas,2001-10-01
2001,40,P,2,Amazonas,2001-10-08
2001,46,P,1,Amazonas,2001-11-19
2002,10,P,1,Amazonas,2002-03-11
