Preocupación,Fecha,Valor
Inflación,2022-10-01,0.35
Crimen y violencia,2022-10-01,0.56
Pobreza y desigualdad,2022-10-01,0.31
Desempleo,2022-10-01,0.39
Corrupción,2022-10-01,0.53
Cambio climático,2022-10-01,0.05
COVID-19,2022-10-01,0.05
Control migratorio,2022-10-01,
Inflación,2023-10-01,0.31
Crimen y violencia,2023-10-01,0.62
Pobreza y desigualdad,2023-10-01,0.31
Desempleo,2023-10-01,0.37
Corrupción,2023-10-01,0.45
Cambio climático,2023-10-01,0.09
COVID-19,2023-10-01,0.03
Control migratorio,2023-10-01,0.14
