fecha,valor,tipo,horizonte
2002-04-01,60.0877192982456,total,03
2002-05-01,61.094674556213,total,03
2002-06-01,49.3939393939394,total,03
2002-07-01,56.2314540059347,total,03
2002-08-01,57.1646341463415,total,03
2002-09-01,57.624633431085,total,03
2002-10-01,60.2678571428571,total,03
2002-11-01,65.9159159159159,total,03
2002-12-01,71.1940298507463,total,03
2003-01-01,70.9439528023599,total,03
2003-02-01,66.9139465875371,total,03
2003-03-01,60.0294985250737,total,03
2003-04-01,65.5325443786982,total,03
2003-05-01,52.9585798816568,total,03
2003-06-01,54.8632218844985,total,03
2003-07-01,56.0606060606061,total,03
2003-08-01,57.7507598784195,total,03
2003-09-01,57.4850299401198,total,03
2003-10-01,60.207100591716,total,03
2003-11-01,58.6826347305389,total,03
2003-12-01,59.0236686390532,total,03
2004-01-01,54.5171339563863,total,03
2004-02-01,57.2327044025157,total,03
2004-03-01,56.514657980456,total,03
2004-04-01,57.8635014836795,total,03
2004-05-01,56.2314540059347,total,03
2004-06-01,56.2080536912752,total,03
2004-07-01,57.3469387755102,total,03
2004-08-01,62.3100303951368,total,03
2004-09-01,61.7241379310345,total,03
2004-10-01,63.125,total,03
2004-11-01,63.2911392405063,total,03
2004-12-01,62.9179331306991,total,03
2005-01-01,62.9850746268657,total,03
2005-02-01,62.5806451612903,total,03
2005-03-01,62.6785714285714,total,03
2005-04-01,63.7462235649547,total,03
2005-05-01,64.2011834319527,total,03
2005-06-01,63.6094674556213,total,03
2005-07-01,65.0746268656716,total,03
2005-08-01,63.7313432835821,total,03
2005-09-01,67.4382716049383,total,03
2005-10-01,64.4736842105263,total,03
2005-11-01,63.4615384615385,total,03
2005-12-01,56.4327485380117,total,03
2006-01-01,52.0289855072464,total,03
2006-02-01,57.2271386430679,total,03
2006-03-01,53.3625730994152,total,03
2006-04-01,52.5297619047619,total,03
2006-05-01,62.2418879056047,total,03
2006-06-01,65.3273809523809,total,03
2006-07-01,67.34375,total,03
2006-08-01,70.0581395348837,total,03
2006-09-01,68.8963210702341,total,03
2006-10-01,70.2290076335878,total,03
2006-11-01,72.6683937823834,total,03
2006-12-01,72.1884498480243,total,03
2007-01-01,72.1153846153846,total,03
2007-02-01,72.5067385444744,total,03
2007-03-01,72.9050279329609,total,03
2007-04-01,74.3055555555556,total,03
2007-05-01,71.5425531914894,total,03
