Fecha,Semana,Inicio,Fin,Bolsa,Cajón
1997,1,1/1/97,1/7/97,1.42,1.74
1997,2,1/8/97,1/14/97,0.74,1.06
1997,3,1/15/97,1/21/97,0.69,0.94
1997,4,1/22/97,1/28/97,0.67,0.8
1997,5,1/29/97,2/4/97,0.6,0.82
1997,6,2/5/97,2/11/97,0.57,0.76
1997,7,2/12/97,2/18/97,0.55,0.76
1997,8,2/19/97,2/25/97,0.7,0.85
1997,9,2/26/97,3/4/97,0.57,0.73
1997,10,3/5/97,3/11/97,0.81,0.89
1997,11,3/12/97,3/18/97,0.94,1.03
1997,12,3/19/97,3/25/97,0.93,1.23
1997,13,3/26/97,4/1/97,0.84,1.16
1997,14,4/2/97,4/8/97,0.76,0.93
1997,15,4/9/97,4/15/97,0.7,0.9
1997,16,4/16/97,4/22/97,0.65,0.87
1997,17,4/23/97,4/29/97,0.56,0.85
1997,18,4/30/97,5/6/97,0.56,0.87
1997,19,5/7/97,5/13/97,0.52,0.77
1997,20,5/14/97,5/20/97,0.67,0.83
1997,21,5/21/97,5/27/97,0.64,0.82
1997,22,5/28/97,6/3/97,0.59,0.72
1997,23,6/4/97,6/10/97,0.66,0.77
1997,24,6/11/97,6/17/97,0.58,0.79
1997,25,6/18/97,6/24/97,0.65,0.97
1997,26,6/25/97,7/1/97,0.63,0.9
1997,27,7/2/97,7/8/97,0.62,0.85
1997,28,7/9/97,7/15/97,0.67,0.94
1997,29,7/16/97,7/22/97,0.87,1.25
1997,30,7/23/97,7/29/97,0.85,1.24
1997,31,7/30/97,8/5/97,0.89,1.21
1997,32,8/6/97,8/12/97,0.92,1.12
1997,33,8/13/97,8/19/97,0.92,1.06
1997,34,8/20/97,8/26/97,0.87,0.92
1997,35,8/27/97,9/2/97,0.98,1.11
1997,36,9/3/97,9/9/97,1.26,1.32
1997,37,9/10/97,9/16/97,1.03,4.45
1997,38,9/17/97,9/23/97,0.93,0.98
1997,39,9/24/97,9/30/97,1.04,1.2
1997,40,10/1/97,10/7/97,1,1.1
1997,41,10/8/97,10/14/97,0.87,0.93
1997,42,10/15/97,10/21/97,0.9,0.94
1997,43,10/22/97,10/28/97,0.86,0.95
1997,44,10/29/97,11/4/97,0.97,1.04
1997,45,11/5/97,11/11/97,0.9,1.02
1997,46,11/12/97,11/18/97,0.83,0.91
1997,47,11/19/97,11/25/97,0.87,0.93
1997,48,11/26/97,12/2/97,0.81,1.06
1997,49,12/3/97,12/9/97,0.66,0.93
1997,50,12/10/97,12/16/97,0.72,0.93
1997,51,12/17/97,12/23/97,0.69,0.96
1997,52,12/24/97,12/30/97,0.67,0.88
1998,1,1/1/98,1/7/98,0.74,0.87
1998,2,1/8/98,1/14/98,0.72,1.04
1998,3,1/15/98,1/21/98,0.73,0.88
1998,4,1/22/98,1/28/98,0.76,0.96
1998,5,1/29/98,2/4/98,0.71,1.01
1998,6,2/5/98,2/11/98,0.7,0.93
1998,7,2/12/98,2/18/98,0.93,1.14
1998,8,2/19/98,2/25/98,1.35,2.18
1998,9,2/26/98,3/4/98,1.52,2.12
1998,10,3/5/98,3/11/98,0.71,0.89
1998,11,3/12/98,3/18/98,1.83,2.1
1998,12,3/19/98,3/25/98,1.52,1.49
1998,13,3/26/98,4/1/98,0.87,1.16
1998,14,4/2/98,4/8/98,0.71,1.02
1998,15,4/9/98,4/15/98,0.74,0.93
1998,16,4/16/98,4/22/98,0.69,0.89
1998,17,4/23/98,4/29/98,0.58,0.8
1998,18,4/30/98,5/6/98,0.63,0.81
1998,19,5/7/98,5/13/98,0.72,0.95
1998,20,5/14/98,5/20/98,0.68,0.84
1998,21,5/21/98,5/27/98,0.76,0.86
1998,22,5/28/98,6/3/98,1.09,1.18
1998,23,6/4/98,6/10/98,1.16,1.19
1998,24,6/11/98,6/17/98,1.57,1.7
1998,25,6/18/98,6/24/98,1.99,2.11
1998,26,6/25/98,7/1/98,2.72,2.73
1998,27,7/2/98,7/8/98,2.59,2.66
1998,28,7/9/98,7/15/98,2.95,3.15
1998,29,7/16/98,7/22/98,3.52,3.92
1998,30,7/23/98,7/29/98,5.14,5.4
1998,31,7/30/98,8/5/98,5.23,5.58
1998,32,8/6/98,8/12/98,5.69,5.79
1998,33,8/13/98,8/19/98,6.71,6.95
1998,34,8/20/98,8/26/98,6.18,6.7
1998,35,8/27/98,9/2/98,5.78,6.09
1998,36,9/3/98,9/9/98,5.1,5.24
1998,37,9/10/98,9/16/98,2.87,3.15
1998,38,9/17/98,9/23/98,3.31,3.37
1998,39,9/24/98,9/30/98,2.86,2.85
1998,40,10/1/98,10/7/98,2.56,2.61
1998,41,10/8/98,10/14/98,2.27,2.42
1998,42,10/15/98,10/21/98,2.3,2.46
1998,43,10/22/98,10/28/98,1.87,2.15
1998,44,10/29/98,11/4/98,1.74,1.93
1998,45,11/5/98,11/11/98,1.44,1.74
1998,46,11/12/98,11/18/98,1.31,1.69
1998,47,11/19/98,11/25/98,1.04,1.34
1998,48,11/26/98,12/2/98,0.96,1.21
1998,49,12/3/98,12/9/98,0.7,1
1998,50,12/10/98,12/16/98,0.78,0.99
1998,51,12/17/98,12/23/98,0.71,0.9
1998,52,12/24/98,12/30/98,0.66,0.87
1999,1,1/1/99,1/7/99,0.59,0.76
1999,2,1/8/99,1/14/99,0.5,0.66
1999,3,1/15/99,1/21/99,0.48,0.54
1999,4,1/22/99,1/28/99,0.56,0.67
1999,5,1/29/99,2/4/99,0.57,0.7
1999,6,2/5/99,2/11/99,0.55,0.7
1999,7,2/12/99,2/18/99,0.57,0.71
1999,8,2/19/99,2/25/99,0.77,1.02
1999,9,2/26/99,3/4/99,0.52,0.78
1999,10,3/5/99,3/11/99,0.55,0.77
1999,11,3/12/99,3/18/99,0.62,0.78
1999,12,3/19/99,3/25/99,0.68,0.84
1999,13,3/26/99,4/1/99,0.67,0.76
1999,14,4/2/99,4/8/99,0.63,0.76
1999,15,4/9/99,4/15/99,0.61,0.76
1999,16,4/16/99,4/22/99,0.61,0.76
1999,17,4/23/99,4/29/99,0.61,0.76
1999,18,4/30/99,5/6/99,0.63,0.8
1999,19,5/7/99,5/13/99,0.61,0.76
1999,20,5/14/99,5/20/99,0.61,0.76
1999,21,5/21/99,5/27/99,0.59,0.72
1999,22,5/28/99,6/3/99,0.61,0.74
1999,23,6/4/99,6/10/99,0.58,0.66
1999,24,6/11/99,6/17/99,0.54,0.66
1999,25,6/18/99,6/24/99,0.67,0.8
1999,26,6/25/99,7/1/99,0.72,0.85
1999,27,7/2/99,7/8/99,0.79,0.89
1999,28,7/9/99,7/15/99,0.85,0.91
1999,29,7/16/99,7/22/99,1.12,1.16
1999,30,7/23/99,7/29/99,1.33,1.44
1999,31,7/30/99,8/5/99,1.49,1.73
1999,32,8/6/99,8/12/99,1.62,1.83
1999,33,8/13/99,8/19/99,1.75,2.03
1999,34,8/20/99,8/26/99,2.19,2.46
1999,35,8/27/99,9/2/99,2.13,2.45
1999,36,9/3/99,9/9/99,2.45,2.81
1999,37,9/10/99,9/16/99,2.69,2.9
1999,38,9/17/99,9/23/99,2.6,2.82
1999,39,9/24/99,9/30/99,2.78,2.91
1999,40,10/1/99,10/7/99,2.44,2.83
1999,41,10/8/99,10/14/99,2.56,2.83
1999,42,10/15/99,10/21/99,2.3,2.66
1999,43,10/22/99,10/28/99,2.05,2.29
1999,44,10/29/99,11/4/99,1.91,2.29
1999,45,11/5/99,11/11/99,2.18,2.38
1999,46,11/12/99,11/18/99,1.8,2.26
1999,47,11/19/99,11/25/99,1.78,2.17
1999,48,11/26/99,12/2/99,1.66,2.09
1999,49,12/3/99,12/9/99,1.69,2.07
1999,50,12/10/99,12/16/99,1.58,2
1999,51,12/17/99,12/23/99,1.05,1.67
1999,52,12/24/99,12/30/99,0.96,1.63
2000,1,1/1/00,1/7/00,0.75,1.47
2000,2,1/8/00,1/14/00,0.54,0.99
2000,3,1/15/00,1/21/00,0.53,0.9
2000,4,1/22/00,1/28/00,0.54,0.91
2000,5,1/29/00,2/4/00,0.52,0.9
2000,6,2/5/00,2/11/00,0.52,0.93
2000,7,2/12/00,2/18/00,0.49,0.92
2000,8,2/19/00,2/25/00,0.64,1.03
2000,9,2/26/00,3/3/00,0.61,1
2000,10,3/4/00,3/10/00,0.6,1.01
2000,11,3/11/00,3/17/00,0.67,0.99
2000,12,3/18/00,3/24/00,0.67,0.99
2000,13,3/25/00,3/31/00,0.65,0.9
2000,14,4/1/00,4/7/00,0.72,1.01
2000,15,4/8/00,4/14/00,0.71,0.99
2000,16,4/15/00,4/21/00,0.72,0.98
2000,17,4/22/00,4/28/00,0.73,0.98
2000,18,4/29/00,5/5/00,0.72,0.93
2000,19,5/6/00,5/12/00,0.68,0.87
2000,20,5/13/00,5/19/00,0.65,0.87
2000,21,5/20/00,5/26/00,0.64,0.84
2000,22,5/27/00,6/2/00,0.7,0.85
2000,23,6/3/00,6/9/00,0.76,0.89
2000,24,6/10/00,6/16/00,0.7,0.88
2000,25,6/17/00,6/23/00,0.71,0.89
2000,26,6/24/00,6/30/00,0.68,0.88
2000,27,7/1/00,7/7/00,0.68,0.86
2000,28,7/8/00,7/14/00,0.83,0.94
2000,29,7/15/00,7/21/00,1.01,1.09
2000,30,7/22/00,7/28/00,1.15,1.26
2000,31,7/29/00,8/4/00,1.43,1.65
2000,32,8/5/00,8/11/00,1.29,1.38
2000,33,8/12/00,8/18/00,1.41,1.56
2000,34,8/19/00,8/25/00,1.4,1.66
2000,35,8/26/00,9/1/00,1.64,1.75
2000,36,9/2/00,9/8/00,1.8,1.86
2000,37,9/9/00,9/15/00,1.96,2.04
2000,38,9/16/00,9/22/00,1.76,1.83
2000,39,9/23/00,9/29/00,2.44,2.21
2000,40,9/30/00,10/6/00,1.79,1.76
2000,41,10/7/00,10/13/00,1.64,1.64
2000,42,10/14/00,10/20/00,1.84,1.79
2000,43,10/21/00,10/27/00,2.23,2.26
2000,44,10/28/00,11/3/00,1.88,2.18
2000,45,11/4/00,11/10/00,2.37,2.44
2000,46,11/11/00,11/17/00,2.14,2.18
2000,47,11/18/00,11/24/00,2.09,2.21
2000,48,11/25/00,12/1/00,2.3,2.25
2000,49,12/2/00,12/8/00,2.01,2.15
2000,50,12/9/00,12/15/00,1.67,2.03
2000,51,12/16/00,12/22/00,1.05,1.73
