geo_id,geo_idx,geo_tipo,geo_region,geo_provincia,geo_nombre,siaf_id,siaf_tipo,siaf_nombre,siaf_nombre_largo
010000,010000,R,Amazonas,,Amazonas,440,R,GR Amazonas,GR Amazonas
010100,010100,P,Amazonas,Chachapoyas,Chachapoyas,300001,P,MP Chachapoyas,"MP Chachapoyas, Amazonas"
010101,010101,D,Amazonas,Chachapoyas,Chachapoyas,,,,
010102,010102,D,Amazonas,Chachapoyas,Asunción,300002,D,MD Asunción,"MD Asunción, Chachapoyas, Amazonas"
010103,010103,D,Amazonas,Chachapoyas,Balsas,300003,D,MD Balsas,"MD Balsas, Chachapoyas, Amazonas"
010104,010104,D,Amazonas,Chachapoyas,Cheto,300004,D,MD Cheto,"MD Cheto, Chachapoyas, Amazonas"
010105,010105,D,Amazonas,Chachapoyas,Chiliquin,300005,D,MD Chiliquin,"MD Chiliquin, Chachapoyas, Amazonas"
010106,010106,D,Amazonas,Chachapoyas,Chuquibamba,300006,D,MD Chuquibamba,"MD Chuquibamba, Chachapoyas, Amazonas"
010107,010107,D,Amazonas,Chachapoyas,Granada,300007,D,MD Granada,"MD Granada, Chachapoyas, Amazonas"
010108,010108,D,Amazonas,Chachapoyas,Huancas,300008,D,MD Huancas,"MD Huancas, Chachapoyas, Amazonas"
010109,010109,D,Amazonas,Chachapoyas,La Jalca,300009,D,MD La Jalca,"MD La Jalca, Chachapoyas, Amazonas"
010110,010110,D,Amazonas,Chachapoyas,Leimebamba,300010,D,MD Leimebamba,"MD Leimebamba, Chachapoyas, Amazonas"
010111,010111,D,Amazonas,Chachapoyas,Levanto,300011,D,MD Levanto,"MD Levanto, Chachapoyas, Amazonas"
010112,010112,D,Amazonas,Chachapoyas,Magdalena,300012,D,MD Magdalena,"MD Magdalena, Chachapoyas, Amazonas"
010113,010113,D,Amazonas,Chachapoyas,Mariscal Castilla,300013,D,MD Mariscal Castilla,"MD Mariscal Castilla, Chachapoyas, Amazonas"
010114,010114,D,Amazonas,Chachapoyas,Molinopampa,300014,D,MD Molinopampa,"MD Molinopampa, Chachapoyas, Amazonas"
010115,010115,D,Amazonas,Chachapoyas,Montevideo,300015,D,MD Montevideo,"MD Montevideo, Chachapoyas, Amazonas"
010116,010116,D,Amazonas,Chachapoyas,Olleros,300016,D,MD Olleros,"MD Olleros, Chachapoyas, Amazonas"
010117,010117,D,Amazonas,Chachapoyas,Quinjalca,300017,D,MD Quinjalca,"MD Quinjalca, Chachapoyas, Amazonas"
010118,010118,D,Amazonas,Chachapoyas,San Francisco de Daguas,300018,D,MD San Francisco de Daguas,"MD San Francisco de Daguas, Chachapoyas, Amazonas"
010119,010119,D,Amazonas,Chachapoyas,San Isidro de Maino,300019,D,MD San Isidro de Maino,"MD San Isidro de Maino, Chachapoyas, Amazonas"
