anio,cat,siaf_id,pia,pim,devengado
2008,total,300001,6109718,12272568,9101401
2008,total,300002,559844,748025,696906
2008,total,300003,640884,930400,654369
2008,total,300004,554730,556696,525823
2008,total,300005,610747,681931,514778
2008,total,300006,712354,711969,693790
2008,total,300007,578129,603656,583444
2008,total,300008,572917,2189813,1931030
2008,total,300009,1360765,2112448,1384666
2008,total,300010,858990,1426872,1365456
2008,total,300011,617817,1231662,933043
2008,total,300012,588645,799650,733451
2008,total,300013,622890,1916440,1167119
2008,total,300014,752155,3932212,2578227
2008,total,300015,560399,549331,462085
2008,total,300016,571342,587135,554975
2008,total,300017,608471,1227590,901816
2008,total,300018,559286,1164252,564630
2008,total,300019,598857,720061,495591
2008,total,300020,622714,617692,523466
2008,total,300021,552790,667894,576823
2008,total,300022,5892876,7195639,5012619
2008,total,300023,2627440,3390706,2643289
2008,total,300024,1426089,1405763,1251822
2008,total,300025,586877,1116323,675196
2008,total,300026,5249772,5384945,4603277
2008,total,300027,1255078,1528070,1199126
2008,total,300028,1423510,3124614,2209304
2008,total,300029,549276,743757,632158
2008,total,300030,531369,640616,609065
2008,total,300031,599253,669210,656758
2008,total,300032,583417,698607,675826
2008,total,300033,1159731,2161705,1185185
2008,total,300034,1471363,1714842,1371353
2008,total,300035,537091,545990,521485
2008,total,300036,554557,735330,514799
2008,total,300037,595089,839068,410819
2008,total,300038,627662,705564,615915
2008,total,300039,1308426,3726504,3198157
2008,total,300040,7175747,9876699,5468998
2008,total,300041,2691988,3689539,3314957
2008,total,300042,3006424,2777037,2581927
2008,total,300043,2822416,4949622,3104517
2008,total,300044,1267851,1810955,1729009
2008,total,300045,755572,903272,805477
2008,total,300046,710366,720323,653085
2008,total,300047,681198,1024526,989209
2008,total,300048,580496,581384,414484
2008,total,300049,594013,593274,570827
2008,total,300050,672266,725038,616274
2008,total,300051,1039541,1220804,1107411
2008,total,300052,583768,991864,904834
2008,total,300053,572479,1685781,1450190
2008,total,300054,935542,1809235,1370007
2008,total,300055,1101988,1233860,1100427
2008,total,300056,1734317,2129624,1277139
2008,total,300057,641802,596364,582687
2008,total,300058,583676,647497,547118
2008,total,300059,592636,628459,548476
2008,total,300060,612080,627875,615839
2008,total,300061,589310,600325,560912
2008,total,300062,678739,683692,605885
2008,total,300063,1083874,1074465,1020987
2008,total,300064,627665,1255154,1060108
2008,total,300065,616759,636278,546802
2008,total,300066,1849260,8451684,6440739
2008,total,300067,800574,804247,661003
