ano,semana,tipo_dx,n
2000,1,C,4
2000,1,P,10
2000,2,C,9
2000,2,P,19
2000,3,C,3
2000,3,P,23
2000,4,C,6
2000,4,P,21
2000,5,C,1
2000,5,P,58
2000,6,P,35
2000,7,C,4
2000,7,P,29
2000,8,C,2
2000,8,P,20
2000,9,C,2
2000,9,P,15
2000,10,C,1
2000,10,P,12
2000,11,C,3
2000,11,P,27
2000,12,C,2
2000,12,P,19
2000,13,C,1
2000,13,P,26
2000,14,C,3
2000,14,P,15
2000,15,P,27
2000,16,C,3
2000,16,P,15
2000,17,C,1
2000,17,P,14
2000,18,C,15
2000,18,P,29
2000,19,C,35
2000,19,P,50
2000,20,C,29
2000,20,P,90
2000,21,C,16
2000,21,P,74
2000,22,C,36
2000,22,P,109
2000,23,C,78
2000,23,P,324
2000,24,C,117
2000,24,P,455
2000,25,C,60
2000,25,P,368
2000,26,C,30
2000,26,P,304
2000,27,C,20
2000,27,P,196
2000,28,C,16
2000,28,P,145
2000,29,C,30
2000,29,P,120
2000,30,C,28
2000,30,P,95
2000,31,C,23
2000,31,P,115
2000,32,C,41
2000,32,P,134
2000,33,C,30
2000,33,P,79
2000,34,C,27
2000,34,P,94
2000,35,C,12
2000,35,P,76
2000,36,C,7
2000,36,P,52
2000,37,C,25
2000,37,P,42
2000,38,C,13
2000,38,P,69
2000,39,C,9
2000,39,P,56
2000,40,C,3
2000,40,P,55
2000,41,C,13
2000,41,P,61
2000,42,C,26
2000,42,P,75
2000,43,C,12
2000,43,P,99
2000,44,C,12
2000,44,P,94
2000,45,C,13
2000,45,P,118
2000,46,C,22
2000,46,P,93
2000,47,C,23
2000,47,P,98
2000,48,C,18
2000,48,P,95
2000,49,C,7
2000,49,P,115
2000,50,C,1
2000,50,P,118
2000,51,C,1
2000,51,P,100
2000,52,P,82
2001,1,C,58
2001,1,P,270
2001,2,C,50
2001,2,P,465
2001,3,C,30
2001,3,P,1058
2001,4,C,24
2001,4,P,1296
2001,5,C,40
2001,5,P,1011
2001,6,C,48
2001,6,P,815
2001,7,C,60
2001,7,P,739
2001,8,C,70
2001,8,P,931
2001,9,C,123
2001,9,P,968
2001,10,C,86
2001,10,P,1142
2001,11,C,67
2001,11,P,1194
2001,12,C,79
2001,12,P,973
2001,13,C,63
2001,13,P,1030
2001,14,C,63
2001,14,P,1119
2001,15,C,69
2001,15,P,1237
2001,16,C,60
2001,16,P,1530
2001,17,C,48
2001,17,P,1318
2001,18,C,53
2001,18,P,1026
2001,19,C,60
2001,19,P,806
2001,20,C,43
2001,20,P,752
2001,21,C,39
2001,21,P,470
2001,22,C,39
2001,22,P,215
2001,23,C,30
2001,23,P,178
2001,24,C,22
2001,24,P,178
2001,25,C,19
2001,25,P,92
2001,26,C,8
2001,26,P,59
2001,27,C,15
2001,27,P,56
2001,28,C,6
2001,28,P,28
2001,29,C,7
2001,29,P,40
2001,30,C,5
2001,30,P,32
2001,31,C,4
2001,31,P,29
2001,32,C,3
2001,32,P,28
2001,33,P,32
2001,34,C,2
2001,34,P,24
2001,35,C,1
2001,35,P,16
2001,36,P,20
2001,37,C,1
2001,37,P,34
2001,38,C,4
2001,38,P,21
2001,39,C,1
2001,39,P,23
2001,40,C,1
2001,40,P,26
2001,41,C,3
2001,41,P,19
2001,42,C,1
2001,42,P,18
2001,43,C,2
2001,43,P,29
2001,44,C,4
2001,44,P,34
2001,45,C,3
2001,45,P,72
2001,46,C,3
2001,46,P,107
2001,47,C,3
2001,47,P,75
2001,48,C,3
2001,48,P,55
2001,49,C,3
2001,49,P,81
2001,50,P,124
2001,51,P,89
2001,52,C,1
2001,52,P,115
2002,1,C,38
2002,1,P,114
2002,2,C,50
2002,2,P,150
2002,3,C,66
2002,3,P,177
2002,4,C,84
2002,4,P,230
2002,5,C,115
2002,5,P,332
2002,6,C,84
2002,6,P,359
2002,7,C,83
2002,7,P,374
2002,8,C,73
2002,8,P,310
2002,9,C,45
2002,9,P,280
2002,10,C,55
2002,10,P,206
2002,11,C,58
2002,11,P,246
2002,12,C,38
2002,12,P,242
2002,13,C,35
2002,13,P,419
2002,14,C,32
2002,14,P,280
2002,15,C,35
2002,15,P,191
2002,16,C,47
2002,16,P,190
2002,17,C,19
2002,17,P,90
2002,18,C,32
2002,18,P,89
2002,19,C,31
2002,19,P,86
2002,20,C,33
2002,20,P,84
2002,21,C,37
2002,21,P,72
2002,22,C,19
2002,22,P,75
2002,23,C,37
2002,23,P,60
2002,24,C,23
2002,24,P,83
2002,25,C,33
2002,25,P,57
2002,26,C,19
2002,26,P,57
2002,27,C,24
2002,27,P,73
2002,28,C,26
2002,28,P,33
2002,29,C,27
2002,29,P,42
2002,30,C,19
2002,30,P,32
2002,31,C,23
2002,31,P,21
2002,32,C,17
2002,32,P,29
2002,33,C,11
2002,33,P,23
2002,34,C,30
2002,34,P,41
2002,35,C,18
2002,35,P,9
2002,36,C,28
2002,36,P,19
2002,37,C,25
2002,37,P,13
2002,38,C,26
2002,38,P,16
2002,39,C,30
2002,39,P,19
2002,40,C,22
2002,40,P,20
2002,41,C,38
2002,41,P,22
2002,42,C,68
2002,42,P,20
2002,43,C,84
2002,43,P,35
2002,44,C,62
2002,44,P,19
2002,45,C,50
2002,45,P,26
2002,46,C,63
2002,46,P,26
2002,47,C,42
2002,47,P,90
2002,48,C,54
2002,48,P,125
2002,49,C,34
2002,49,P,144
2002,50,C,15
2002,50,P,134
2002,51,C,14
2002,51,P,85
2002,52,C,6
2002,52,P,40
2003,1,C,9
2003,1,P,45
2003,2,C,14
2003,2,P,51
2003,3,C,13
2003,3,P,30
2003,4,C,21
2003,4,P,44
2003,5,C,16
2003,5,P,38
2003,6,C,18
2003,6,P,52
2003,7,C,15
2003,7,P,54
2003,8,C,20
2003,8,P,43
2003,9,C,23
2003,9,P,86
2003,10,C,20
2003,10,P,56
2003,11,C,19
2003,11,P,65
2003,12,C,13
2003,12,P,73
2003,13,C,17
2003,13,P,77
2003,14,C,16
2003,14,P,126
2003,15,C,11
2003,15,P,160
2003,16,C,13
2003,16,P,182
2003,17,C,12
2003,17,P,198
2003,18,C,14
2003,18,P,236
2003,19,C,10
2003,19,P,191
2003,20,C,9
2003,20,P,136
2003,21,C,9
2003,21,P,64
2003,22,C,9
2003,22,P,56
2003,23,C,16
2003,23,P,97
2003,24,C,22
2003,24,P,54
2003,25,C,23
2003,25,P,38
2003,26,C,12
2003,26,P,33
2003,27,C,16
2003,27,P,30
2003,28,C,4
2003,28,P,26
2003,29,C,1
2003,29,P,24
2003,30,C,4
2003,30,P,16
2003,31,C,2
2003,31,P,10
2003,32,C,5
2003,32,P,17
2003,33,C,4
2003,33,P,20
2003,34,C,4
2003,34,P,16
2003,35,C,1
2003,35,P,10
2003,36,C,2
2003,36,P,17
2003,37,C,6
2003,37,P,14
2003,38,C,1
2003,38,P,26
2003,39,C,1
2003,39,P,16
2003,40,C,1
2003,40,P,14
2003,41,C,2
2003,41,P,14
2003,42,C,1
2003,42,P,22
2003,43,C,3
2003,43,P,17
2003,44,C,4
2003,44,P,23
2003,45,C,1
2003,45,P,23
2003,46,C,2
2003,46,P,34
2003,47,C,3
2003,47,P,34
2003,48,C,8
2003,48,P,19
2003,49,C,9
2003,49,P,30
2003,50,C,11
2003,50,P,18
2003,51,C,6
2003,51,P,26
2003,52,C,4
2003,52,P,21
2003,53,C,8
2003,53,P,19
2004,1,C,36
2004,1,P,37
2004,2,C,64
2004,2,P,115
2004,3,C,75
2004,3,P,365
2004,4,C,59
2004,4,P,331
2004,5,C,63
2004,5,P,195
2004,6,C,52
2004,6,P,158
2004,7,C,46
2004,7,P,173
2004,8,C,25
2004,8,P,168
2004,9,C,30
2004,9,P,126
2004,10,C,37
2004,10,P,83
2004,11,C,52
2004,11,P,124
2004,12,C,52
2004,12,P,116
2004,13,C,52
2004,13,P,153
2004,14,C,70
2004,14,P,219
2004,15,C,96
2004,15,P,346
2004,16,C,75
2004,16,P,359
2004,17,C,78
2004,17,P,296
2004,18,C,55
2004,18,P,198
2004,19,C,58
2004,19,P,165
2004,20,C,61
2004,20,P,182
2004,21,C,30
2004,21,P,115
2004,22,C,27
2004,22,P,111
2004,23,C,15
2004,23,P,82
2004,24,C,21
2004,24,P,57
2004,25,C,11
2004,25,P,48
2004,26,C,11
2004,26,P,69
2004,27,C,9
2004,27,P,76
2004,28,C,15
2004,28,P,59
2004,29,C,12
2004,29,P,32
2004,30,C,14
2004,30,P,30
2004,31,C,11
2004,31,P,64
2004,32,C,19
2004,32,P,52
2004,33,C,13
2004,33,P,57
2004,34,C,10
2004,34,P,57
2004,35,C,11
2004,35,P,65
2004,36,C,6
2004,36,P,71
2004,37,C,9
2004,37,P,77
2004,38,C,12
2004,38,P,59
2004,39,C,22
2004,39,P,96
2004,40,C,17
2004,40,P,97
2004,41,C,20
2004,41,P,112
2004,42,C,19
2004,42,P,115
2004,43,C,26
2004,43,P,96
2004,44,C,19
2004,44,P,100
2004,45,C,29
2004,45,P,116
