Año,Mes,País,Turistas
2011,1,Alemania,4225
2011,1,Argentina,21727
2011,1,Aruba,22
2011,1,Australia,2783
2011,1,Austria,519
2011,1,Bélgica,656
2011,1,Bielorrusia,21
2011,1,Bolivia,10304
2011,1,Brasil,12367
2011,1,Bulgaria,71
2011,1,Canadá,4928
2011,1,Chile,69765
2011,1,China,786
2011,1,Colombia,11174
2011,1,Corea del Sur,1464
2011,1,Costa Rica,901
2011,1,Croacia,85
2011,1,Cuba,302
2011,1,Dinamarca,512
2011,1,Ecuador,11227
2011,1,Estados Unidos,31343
2011,1,Egipto,22
2011,1,El Salvador,189
2011,1,Eslovaquia,52
2011,1,Eslovenia,30
2011,1,España,8244
2011,1,Filipinas,181
2011,1,Finlandia,242
2011,1,Francia,3891
2011,1,Grecia,96
2011,1,Guatemala,242
2011,1,Honduras,129
2011,1,Hong Kong,51
2011,1,Hungría,113
2011,1,India,228
2011,1,Indonesia,169
2011,1,Irlanda,378
2011,1,Israel,555
2011,1,Italia,3679
2011,1,Japón,2359
2011,1,Lituania,33
2011,1,Malasia,46
2011,1,Marruecos,24
2011,1,México,3240
2011,1,Nicaragua,92
2011,1,Noruega,482
2011,1,Nueva Zelandia,309
2011,1,Países Bajos,1764
2011,1,Panamá,1025
2011,1,Paraguay,520
2011,1,Polonia,419
2011,1,Portugal,332
2011,1,Puerto Rico,23
2011,1,Reino Unido,4173
2011,1,Republica Checa,137
2011,1,Rep. Dominicana,317
2011,1,Rumania,99
2011,1,Rusia (Fed),754
2011,1,Singapur,62
2011,1,Sudáfrica,211
2011,1,Suecia,983
2011,1,Suiza,1564
2011,1,Tailandia,46
2011,1,Taiwán,217
2011,1,Trinidad y Tobago,22
2011,1,Turquía,109
2011,1,Ucrania,141
2011,1,Uruguay,840
2011,1,Venezuela,3293
2011,1,Vietnam,15
2011,1,Resto del Mundo,989
2011,2,Alemania,4305
2011,2,Argentina,11185
2011,2,Aruba,18
2011,2,Australia,1696
2011,2,Austria,518
2011,2,Bélgica,657
2011,2,Bielorrusia,18
2011,2,Bolivia,6320
2011,2,Brasil,6884
2011,2,Bulgaria,111
2011,2,Canadá,4893
2011,2,Chile,78581
2011,2,China,743
2011,2,Colombia,7855
2011,2,Corea del Sur,1181
2011,2,Costa Rica,580
2011,2,Croacia,89
2011,2,Cuba,317
2011,2,Dinamarca,600
2011,2,Ecuador,10603
2011,2,Estados Unidos,31148
2011,2,Egipto,7
2011,2,El Salvador,349
2011,2,Eslovaquia,59
2011,2,Eslovenia,46
2011,2,España,7901
2011,2,Filipinas,259
