partida,desc,año,valor,desc_corta,tipo,subtipo_agro
6109100031,"T-SHIRTDE ALGODON P HOMB.O MUJ.,D TEJ.TEÑIDO D UN SOLO COLOR UNIF.INCL.BLANQLEADOS",2000-01-01,117.84622811,Polo de algodón,Textil,Textil
2005600000,"ESPARRAGOS PREPARADOS O CONSERVADOS, SIN CONGELAR",2000-01-01,81.5472305400001,Espárragos preparados,Agro,Espárragos
709200000,"ESPARRAGOS, FRESCOS O REFRIGERADOS",2000-01-01,53.7980659299999,Espárragos frescos,Agro,Espárragos
7408110000,ALAMBRE DE COBRE REFINADO CON LA MAYOR DIMENSION DE LA SECCION TRANSV. SUP. A 6 MM,2000-01-01,51.433323789999996,Alambre de cobre,Minería,Minería
5105300000,PELO FINO CARDADO O PEINADO,2000-01-01,43.73715319,Pelo fino,Textil,Textil
6105100041,"CAMISAS D PTO.ALG.C/ABERT.DEL.PARC.,C.Y PUÑ.DE TEJ.ACAN.P HOMB.,TEÑIDO D UN SOLO COLO",2000-01-01,42.39289747,Camisas algodón - H,Textil,Textil
7901200000,ALEACIONES DE CINC,2000-01-01,41.96481761,Aleaciones de zinc,Minería,Minería
4407240000,"MADERA ASERRADA DE VIROLA, MAHOGANY (SWIETENIA SPP.), IMBUIA Y BALSA",2000-01-01,40.06819464,Madera aserrada,Madera,Madera
7113190000,"ART. DE JOYERIA DE LOS DEMAS METALES PRECIOSOS, INCLUSO REVESTIDOS O CHAPADOS",2000-01-01,36.39933147,Joyería,Minería,Minería
307490000,"DEMAS JIBIAS, GLOBITOS,CALAMARES Y POTAS, CONGELADAS, SECAS, SALADAS O EN SALMUERA",2000-01-01,33.56551384,Demás calamares cong.,Molusco,Molusco
6109100031,"T-SHIRTDE ALGODON P HOMB.O MUJ.,D TEJ.TEÑIDO D UN SOLO COLOR UNIF.INCL.BLANQLEADOS",2001-01-01,82.6083064699997,Polo de algodón,Textil,Textil
2005600000,"ESPARRAGOS PREPARADOS O CONSERVADOS, SIN CONGELAR",2001-01-01,79.91140293000001,Espárragos preparados,Agro,Espárragos
709200000,"ESPARRAGOS, FRESCOS O REFRIGERADOS",2001-01-01,63.4357369900001,Espárragos frescos,Agro,Espárragos
